numbers,1656_order_diff,1743_order_diff,1872_order_diff,1886_order_diff,1916_order_diff,1936_order_diff
-15,0.0,0.0,0.0,0.0,0.0,0.0
-14,0.0,0.0,0.0,0.0,0.0,0.0
-13,0.0,0.0,0.0,0.0,0.0,0.0
-12,0.0,0.0,0.0,0.0,0.0,0.0
-11,1.0,0.0,0.0,0.0,0.0,0.0
-10,0.0,1.0,0.0,0.0,0.0,0.0
-9,0.0,1.0,0.0,0.0,0.0,0.0
-8,2.0,2.0,0.0,0.0,0.0,0.0
-7,0.0,1.0,0.0,0.0,0.0,0.0
-6,1.0,3.0,0.0,1.0,0.0,1.0
-5,1.0,0.0,0.0,0.0,2.0,0.0
-4,2.0,2.0,3.0,0.0,2.0,1.0
-3,9.0,3.0,2.0,1.0,5.0,1.0
-2,5.0,4.0,8.0,3.0,2.0,3.0
-1,12.0,8.0,14.0,4.0,5.0,2.0
0,27.0,17.0,26.0,26.0,17.0,27.0
1,12.0,18.0,29.0,16.0,20.0,14.0
2,14.0,16.0,11.0,15.0,21.0,8.0
3,11.0,12.0,13.0,17.0,13.0,6.0
4,10.0,7.0,19.0,12.0,16.0,12.0
5,5.0,7.0,9.0,20.0,17.0,8.0
6,8.0,12.0,9.0,7.0,4.0,16.0
7,2.0,5.0,1.0,5.0,13.0,9.0
8,2.0,8.0,5.0,8.0,6.0,10.0
9,2.0,6.0,5.0,6.0,7.0,5.0
10,2.0,1.0,1.0,7.0,2.0,5.0
11,3.0,1.0,2.0,2.0,2.0,3.0
12,2.0,0.0,2.0,2.0,0.0,1.0
13,1.0,0.0,0.0,1.0,0.0,3.0
14,0.0,0.0,1.0,1.0,0.0,2.0
15,1.0,0.0,0.0,0.0,0.0,0.0
16,0.0,5.0,0.0,0.0,0.0,0.0
17,0.0,1.0,0.0,0.0,0.0,1.0
18,0.0,1.0,0.0,0.0,0.0,0.0
19,0.0,1.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
